program_name,university,region,tier,duration,language,degree_type,internship_required,thesis_required,scholarship,other_info,pros,cons,admission_preference,admission_data_count,admission_data,application_notes,other_notes
Cambridge ACS,Cambridge,英国,T0,9个月,EN,Mphil,否,是,剑桥提供少量奖学金，较难获得,null,"* 优异的QS排名和国内名声
    * 剑桥是一个安全美丽的城市，剑桥大学也有着独特的历史文化
    * 有少部分机会可以成为剑桥Phd
    ","* 学制短，不到一年的时间可能无法满足部分城市留学生户口政策
    ",每年都有陆本同学录取，并未察觉明显海本偏好。,1,"[{'录取时间': '23fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.9/4.0', '科研经历': '1段校内；1段海外', '实习经历': '2段国内大厂', '其他（语言/推荐信）': 'T105'}]","* 语言未达到可以先等offer，如果录取后面再补交（据说参加剑桥英语考核可能相对容易）
    * 1000字符的SOP，差不多150个单词就能填满
    * 研究计划的写作需要关注，老师面试可能会提出相关问题",* 有面试的话，是能被录取的积极信号，可以去小红书/一亩三分地查看面经
Cambridge MLMI,Cambridge,英国,T0,11月,EN,Mphil,否,是,剑桥提供少量奖学金，较难获得,null,"* 优异的QS排名和国内名声
    * 剑桥是一个安全美丽的城市，剑桥大学也有着独特的历史文化
    * 有少部分机会可以成为剑桥Phd
    ","* 11个月，学制短，不到一年的时间可能无法满足部分城市留学生户口政策
    ",每年都有陆本同学录取，并未察觉明显海本偏好。,0,null,"* 语言未达到可以先等offer，如果录取后面在补交（据说参加剑桥英语考核可能相对容易）
    * 1000字符的SOP，差不多150个单词就能填满",null
EPFL MSCS,EPFL,欧洲,T0,2~3年,EN,MSc in Computer Science,是,是,IC research scholarship & EPFL excellence fellowship (在申请时勾选，且均难以获得),null,"* 优异的QS排名和国际名誉，全球顶尖CS实验室
    * 自带瑞士实习，提升留瑞工作几率
    * 变态且扎实的课业难度
    * 学费便宜
    * 日内瓦湖风景不错，较为安全，到其他国家游玩方便（如果你还能有时间玩）    
    ","* 洛桑相对高昂的生活成本（但相对苏黎世会好一些）
    ","23fall EPFL录取难度较高，更倾向海本。相对于ETHz，EPFL对课程匹配度没有那么看重，但由于招生数量限制，每年的bar起伏较大。

    陆本录取者的大致背景是华五以上并且能够获得美国优异offer的牛人。",1,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本Top5', '本科专业': 'CS', 'GPA/Rank': '91.61/100', '科研经历': '2段校内', '实习经历': '无', '其他（语言/推荐信）': 'TOEFL 104 (S23), GRE 329 + 4'}]","* EPFL的推荐人不可更换（由于申请网站很垃圾），请一定得找100%能给你些推荐信的老师（虽然只有两份推荐信EPFL也会审理你的材料）。
    * 提交申请后才会给推荐人发送推荐信链接，且一旦提交申请，材料不可补交。因而需要仔细斟酌提交申请的时间（由于申请截止日期临近西方国家圣诞假期，需要国外推荐人的小伙伴尤其需要斟酌提交申请的时间）。
    * EPFL会要求推荐人提交对被推荐人排名的预估，建议提前告知推荐人自己的排名。",null
ETH Cyber Security,ETH,欧洲,T0,2~3年,EN,Master in Cyber Security,null,是,ESOP,null,"* 优异的QS排名和国际名誉，全球顶尖CS实验室
    * 变态且扎实的课业难度
    * 学费便宜（1kCHF左右）
    * 瑞士风景不错，较为安全，到其他国家游玩方便（如果你还能有时间玩）
    ",null,* 该项目录取人数相对CS和DS较少，课程匹配要求和CS一样。,2,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.94/4.0', '科研经历': '三段校内', '实习经历': '无', '其他（语言/推荐信）': 'IELTS 7.5(6.5), GRE 330+4'}, {'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本Top5', '本科专业': 'CS', 'GPA/Rank': '91.61/100', '科研经历': '2段校内', '实习经历': '无', '其他（语言/推荐信）': 'TOEFL 104 (S23), GRE 329 + 4'}]",* 高中毕业证明的一种处理办法是拿到本地公证处进行中英文公证,null
ETH MSCS,ETH,欧洲,T0,2~3年,EN,Master of Computer Science,否,是,ESOP奖学金（难以获得）,null,"* 优异的QS排名和国际名誉，全球顶尖CS实验室
    * 变态且扎实的课业难度
    * 学费便宜（1kCHF左右）
    * 瑞士风景不错，较为安全，到其他国家游玩方便（如果你还能有时间玩）
    ","* 没有自带实习，瑞士实习/工作难度较高
    * 苏黎世生活成本较高
    ","* 对于陆本部分学校而言，如果你校每年有有人录取这个项目（假设人数为N)。如果你在今年你们学校的申请者中，学分绩排名在前N名，则有一定几率录取。
    * 非常看重你的学校层次、课业成绩（GPA）以及你与该项目的课程匹配程度（这一点对欧洲大部分项目都适用），而科研、实习和推荐信则属于锦上添花。",5,"[{'录取时间': '24Fall', '录取结果': 'AD', '学校（档次）': '陆本某年轻双非', '本科专业': 'CS', 'GPA/Rank': '3.97/4.0', '科研经历': '1段校内1段海外', '实习经历': '无', '其他（语言/推荐信）': 'T105, MIT教授强推'}, {'录取时间': '23fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.9/4.0', '科研经历': '1段校内；1段海外', '实习经历': '2段国内大厂', '其他（语言/推荐信）': 'T105'}, {'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.94/4.0', '科研经历': '三段校内', '实习经历': '无', '其他（语言/推荐信）': 'IELTS 7.5(6.5), GRE 330+4'}, {'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '92.05/100', '科研经历': '2段校内', '实习经历': '2段国内大厂', '其他（语言/推荐信）': 'IELTS 7.5(6.5), GRE 323+3'}, {'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本Top5', '本科专业': 'CS', 'GPA/Rank': '91.61/100', '科研经历': '2段校内', '实习经历': '无', '其他（语言/推荐信）': 'TOEFL 104 (S23), GRE 329 + 4'}]","* 该项目申请无需提交课程描述
    * 高中毕业证明的一种处理办法是拿到本地公证处进行中英文公证",null
ETH MSDS,ETH,欧洲,T0,2~3年,EN,Master in Data Science,否,是,ESOP,null,"* 优异的QS排名和国际名誉，全球顶尖CS实验室
    * 变态且扎实的课业难度
    * 学费便宜（1kCHF左右）
    * 瑞士风景不错，较为安全，到其他国家游玩方便（如果你还能有时间玩）
    ",null,"* 更偏好有数学、统计等背景的同学。
    * 23fall有同时申请CS和DS的同学也能够双双拿到录取。",2,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.94/4.0', '科研经历': '三段校内', '实习经历': '无', '其他（语言/推荐信）': 'IELTS 7.5(6.5), GRE 330+4'}, {'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本Top2', '本科专业': 'IE', 'GPA/Rank': '3.90/4.0', '科研经历': '两段', '实习经历': '一段', '其他（语言/推荐信）': 'TOEFL 106 (S21), GRE 330+4'}]",* 高中毕业证明的一种处理办法是拿到本地公证处进行中英文公证,null
Oxford ACS,Oxford,英国,T0,一年,EN,MSc in Advanced Computer Science,否,是,牛津提供少量奖学金，难以获得,null,"* 优异的QS排名和国内名声
    * 牛津是一个安全美丽的城市，牛津大学也有着独特的历史文化
    ","* 32760英镑的国际学生学费
    * 英国就业相对困难
    ",有一定的海本录取偏好，招人相对剑桥的ACS似乎人数会更加保守。,1,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': 'LMU Munich', '本科专业': 'CS+NLP', 'GPA/Rank': '1.14/1.0', '科研经历': '1段校内', '实习经历': '无', '其他（语言/推荐信）': '无雅无G'}]","* 语言未达到可以先等offer，如果录取后面再补交
    * 牛津的文书可能是我见过要求最多的文书 :(",* 有面试的话，是能被录取的积极信号，请认真准备。
UCL CSML MSc,UCL,英国,T0,null,null,null,null,null,null,null,null,null,null,0,null,null,null
EPFL MSDH,EPFL,欧洲,T0.5,2~3年,EN,MSc in Digital Humanities,是,是,IC research scholarship & EPFL excellence fellowship (在申请时勾选，且均难以获得),null,"* 优异的QS排名和国际名誉
    * 自带瑞士实习，提升留瑞工作几率
    * 学费便宜
    * 录取门槛可能比EPFL MSCS低不少（待完善录取数据）
    * EPFL选课较为自由，这个项目也能选不少CS课
    * 日内瓦湖风景不错，较为安全，到其他国家游玩方便（如果你还能有时间玩）    
    ","* 开设在College of Humanities而非CS系下面
    * title不如MSCS好看，看起来没那么硬核
    * 仅适合喜欢数字人或者相关图形娱乐技术的同学
    ",23fall有武大华科同层次学校的CS同学被录取。,0,null,null,null
Aalto CS,Aalto,欧洲,T1,2年,EN,Master of Science (Technology),否,是,全奖，半奖，全奖+5000欧,null,"- **申请条件**：需连续持有 **A级 permit 4 年** 。
    - **学生签证和伴侣签证**：学生签为 A类 permit，计入，伴侣签证也为A类，计入。
    - **Job Seeker 签证：**
        - 有效期最长**两年（可拆三阶段，每段 ≥6个月）**，也属于 **A 类 permit。**
        - 全职/兼职工作均可，无行业或雇主限制；可当作创业许可证使用 。
        - 配偶仍保留其 **A 类权限与工作权**，完全同步。
        - **不需维持工作状况**，签证不会因无工作而被直接撤销；
        - 但在续签 Job Seeker permit（最多三次，共两年）时，需要证明“仍在积极找工作”与“有足够生活资金”（约 €800/月） 。    * 师生比45/500（手动计算有所误差，如有官方数据以官方为准）
    * HCI神校，校内众多HCI大佬
    * 芬兰居留政策北欧最佳（上学时期算）
    * 学校行政效率高
    * 课程选择性大，覆盖范围面广
    * 奖学金多且往年门槛低
    * 学生会协调宿舍，基本都能排到比较物美价廉的
    ","* 每门课5学分，一学期需要30学分，项目内容较多
    * 芬兰就业情况较差，无大型知名IT公司，找实习难度很大
    ","根据23fall申请，录取标准基本为985，均分85+
    由于竞争过大，加入要求GPA3.5/4.0",0,null,"可以申请2个项目，反正不要钱，不投白不投
    注意提前修改好文件格式 文件类型-名字 如CV-LI-Hua.pdf",23fall奖学金bar变得极高，往年半奖的bg今年大多数无奖
